Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,838,0,4,6.175963933035611,1.4397689956240356,52.17330899904482,15.0,14.412339512688263,0.0,4,5,6,8,12,18,24,32,52,52,52
GET,/items,7815,0,25,27.75808113876613,20.937966997735202,121.44158899900503,542.0,134.4062449781131,0.0,25,27,29,30,35,41,52,61,88,120,120
,Aggregated,8653,0,25,25.667960461729013,1.4397689956240356,121.44158899900503,490.96267190569745,148.81858449080136,0.0,25,26,28,29,35,40,51,59,88,120,120
