Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789267337,50,,Aggregated,79.400000,2.400000,360,360,360,360,360,360,370,370,390,400,400,2238,63,360.0,323.8120465764567,1.7517310043331236,398.6095730069792,477.6939231456658
1789267338,50,,Aggregated,79.300000,2.500000,360,360,360,360,360,360,370,370,390,400,400,2321,66,360.0,323.96541457392493,1.7517310043331236,398.6095730069792,477.7436449806118
1789267339,50,,Aggregated,80.100000,2.600000,360,360,360,360,360,360,370,370,390,400,400,2403,67,360.0,323.66159066587414,1.7517310043331236,398.6095730069792,477.53058676654183
1789267340,50,,Aggregated,80.000000,2.800000,360,360,360,360,360,360,370,370,390,400,400,2487,67,360.0,323.5448679570642,1.7517310043331236,398.6095730069792,477.8009650180941
1789267341,50,,Aggregated,79.800000,2.700000,360,360,360,360,360,360,370,370,390,400,400,2564,69,360.0,324.0111286619245,1.7517310043331236,398.6095730069792,478.5081903276131
1789267342,50,,Aggregated,80.500000,2.500000,360,360,360,360,360,360,370,370,390,400,400,2642,72,360.0,324.3290613251945,1.7517310043331236,398.6095730069792,478.80507191521576
1789267343,50,,Aggregated,80.700000,2.600000,360,360,360,360,360,360,370,370,390,400,400,2722,74,360.0,324.39135214076435,1.7517310043331236,398.6095730069792,478.93166789125644
1789267344,50,,Aggregated,80.300000,2.500000,360,360,360,360,360,360,370,370,390,400,400,2799,77,360.0,324.2885065774395,1.7517310043331236,398.6095730069792,478.61271882815294
1789267345,50,,Aggregated,80.200000,2.300000,360,360,360,360,360,360,370,370,390,400,400,2877,80,360.0,324.59408571749674,1.7517310043331236,398.6095730069792,478.8825165102537
1789267346,50,,Aggregated,80.400000,2.300000,360,360,360,360,360,360,370,370,390,400,400,2960,81,360.0,324.68387726020336,1.7517310043331236,398.6095730069792,479.23344594594596
1789267347,50,,Aggregated,79.900000,2.500000,360,360,360,360,360,360,370,370,390,400,400,3039,82,360.0,324.2706821790459,1.7517310043331236,398.6095730069792,478.7894044093452
1789267348,50,,Aggregated,79.800000,2.400000,360,360,360,360,360,360,370,370,390,400,400,3117,83,360.0,324.4240570317971,1.7517310043331236,398.6095730069792,479.1928136028232
1789267349,50,,Aggregated,79.800000,2.100000,360,360,360,360,360,360,370,370,390,400,400,3198,87,360.0,324.1638940147541,1.7517310043331236,398.6095730069792,478.4965603502189
1789267350,50,,Aggregated,79.200000,1.700000,360,360,360,360,360,360,370,370,390,400,400,3279,87,360.0,324.23809436237065,1.7517310043331236,398.6095730069792,478.9402256785605
1789267351,50,,Aggregated,79.600000,1.900000,360,360,360,360,360,360,370,370,390,400,400,3362,90,360.0,323.91963193167743,1.7517310043331236,398.6095730069792,478.3167757287329
1789267352,50,,Aggregated,79.100000,2.000000,360,360,360,360,360,360,370,370,390,400,400,3441,94,360.0,323.9787196176378,1.7517310043331236,398.6095730069792,478.1127579192095
1789267353,50,,Aggregated,79.600000,2.100000,360,360,360,360,360,360,370,370,390,400,400,3526,96,360.0,323.79474520316614,1.7517310043331236,398.6095730069792,477.86840612592175
1789267354,50,,Aggregated,79.100000,2.100000,360,360,360,360,360,360,370,370,390,400,400,3599,97,360.0,323.58976211984947,1.7517310043331236,398.6095730069792,477.70936371214225
1789267355,50,,Aggregated,80.400000,2.200000,360,360,360,360,360,360,370,370,390,400,400,3681,98,360.0,323.873966505377,1.7517310043331236,398.6095730069792,478.2868785656072
1789267356,50,,Aggregated,79.700000,2.000000,360,360,360,360,360,360,370,370,390,400,400,3757,99,360.0,324.167239772486,1.7517310043331236,398.6095730069792,478.8786265637477
1789267357,50,,Aggregated,79.700000,1.700000,360,360,360,360,360,360,370,370,390,400,400,3834,100,360.0,324.1986174150217,1.7517310043331236,398.6095730069792,479.0508607198748
1789267358,50,,Aggregated,79.600000,1.800000,360,360,360,360,360,360,370,370,390,400,400,3912,104,360.0,324.76053016954177,1.7517310043331236,398.6095730069792,479.64877300613495
1789267359,50,,Aggregated,79.000000,1.800000,360,360,360,360,360,360,360,370,390,400,400,3996,108,360.0,324.7260099274862,1.7517310043331236,398.6095730069792,479.3928928928929
1789267360,50,,Aggregated,79.900000,2.000000,360,360,360,360,360,360,370,370,390,400,400,4077,108,360.0,324.70188721027483,1.7517310043331236,398.6095730069792,479.6026490066225
1789267361,50,,Aggregated,79.400000,2.100000,360,360,360,360,360,360,370,370,390,400,400,4158,109,360.0,324.82129577784116,1.7517310043331236,398.6095730069792,479.9348244348244
1789267362,50,,Aggregated,79.600000,2.100000,360,360,360,360,360,360,370,370,390,400,400,4233,112,360.0,324.92846545389216,1.7517310043331236,398.6095730069792,479.92534845263407
