Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,428,0,5,5.744891605432696,1.7517310043331236,62.72565500694327,15.0,7.24020349482787,0.0,5,6,7,7,9,11,12,14,63,63,63
GET,/items,4139,120,360.0,357.2873535431743,351.50120499019977,398.6095730069792,527.1848272529596,70.01682772217886,2.029963596680711,360,360,360,360,360,360,370,370,390,400,400
,Aggregated,4567,120,360.0,324.3422749994148,1.7517310043331236,398.6095730069792,479.18502299102255,77.25703121700674,2.029963596680711,360,360,360,360,360,360,370,370,390,400,400
